Race,"Less than $20,000","$20,000 - $49,999","$50,000 - $74,999","$75,000 or More"
White,77.5878,77.1646,81.66,85.0103
Black,71.6811,64.4467,68.4138,67.9862
Native American,83.0504,60.5301,89.1333,64.3111
Native HI/Other Pacific Islander,70.2432,88.4,98.3043,84.5714
Asian,47.9446,55.92,56.0612,55.5515
More than One Race,69.9155,69.9488,70.5079,68.0833
Hispanic,60.4951,60.656,64.2758,68.5856
